Date, Close
02/01/2015 16:00:00,33.42
05/01/2015 16:00:00,33.54
06/01/2015 16:00:00,33.61
07/01/2015 16:00:00,33.88
08/01/2015 16:00:00,34.12
09/01/2015 16:00:00,33.96
12/01/2015 16:00:00,34.46
13/01/2015 16:00:00,34.69
14/01/2015 16:00:00,34.93
15/01/2015 16:00:00,34.47
16/01/2015 16:00:00,34.96
20/01/2015 16:00:00,34.92
21/01/2015 16:00:00,35.74
22/01/2015 16:00:00,35.78
23/01/2015 16:00:00,34.87
26/01/2015 16:00:00,34.33
27/01/2015 16:00:00,33.73
28/01/2015 16:00:00,33.34
29/01/2015 16:00:00,33.68
30/01/2015 16:00:00,33.39
02/02/2015 16:00:00,34.33
03/02/2015 16:00:00,34.05
04/02/2015 16:00:00,34.21
05/02/2015 16:00:00,34.61
06/02/2015 16:00:00,35.08
09/02/2015 16:00:00,34.97
10/02/2015 16:00:00,35.76
11/02/2015 16:00:00,35.57
12/02/2015 16:00:00,36.22
13/02/2015 16:00:00,36.49
17/02/2015 16:00:00,36.52
18/02/2015 16:00:00,36.5
19/02/2015 16:00:00,37.31
20/02/2015 16:00:00,37.3
23/02/2015 16:00:00,36.69
24/02/2015 16:00:00,37.59
25/02/2015 16:00:00,37.3
26/02/2015 16:00:00,37.44
27/02/2015 16:00:00,37.54
02/03/2015 16:00:00,37.88
03/03/2015 16:00:00,37.53
04/03/2015 16:00:00,37.68
05/03/2015 16:00:00,37.34
06/03/2015 16:00:00,37.13
09/03/2015 16:00:00,37.39
10/03/2015 16:00:00,36.77
11/03/2015 16:00:00,37.24
12/03/2015 16:00:00,37.33
13/03/2015 16:00:00,37.25
16/03/2015 16:00:00,37.94
17/03/2015 16:00:00,38.19
18/03/2015 16:00:00,38.72
19/03/2015 16:00:00,38.72
20/03/2015 16:00:00,38.74
23/03/2015 16:00:00,38.89
24/03/2015 16:00:00,38.68
25/03/2015 16:00:00,37.26
26/03/2015 16:00:00,36.72
27/03/2015 16:00:00,36.27
30/03/2015 16:00:00,36.12
31/03/2015 16:00:00,37.15
01/04/2015 16:00:00,36.61
02/04/2015 16:00:00,36.79
06/04/2015 16:00:00,36.73
07/04/2015 16:00:00,36.38
08/04/2015 16:00:00,36.49
09/04/2015 16:00:00,37.18
10/04/2015 16:00:00,37.05
13/04/2015 16:00:00,36.59
14/04/2015 16:00:00,36.15
15/04/2015 16:00:00,36.19
16/04/2015 16:00:00,36.07
17/04/2015 16:00:00,35.36
20/04/2015 16:00:00,36.13
21/04/2015 16:00:00,36.21
22/04/2015 16:00:00,36.01
23/04/2015 16:00:00,35.44
24/04/2015 16:00:00,34.99
27/04/2015 16:00:00,34.34
28/04/2015 16:00:00,33.94
29/04/2015 16:00:00,33.78
30/04/2015 16:00:00,33.46
01/05/2015 16:00:00,33.61
04/05/2015 16:00:00,34.48
05/05/2015 16:00:00,34
06/05/2015 16:00:00,33.65
07/05/2015 16:00:00,33.91
08/05/2015 16:00:00,34.58
11/05/2015 16:00:00,35.02
12/05/2015 16:00:00,34.76
13/05/2015 16:00:00,35.25
14/05/2015 16:00:00,35.19
15/05/2015 16:00:00,35.33
18/05/2015 16:00:00,36.22
19/05/2015 16:00:00,34.99
20/05/2015 16:00:00,32.38
21/05/2015 16:00:00,33.03
22/05/2015 16:00:00,33.08
26/05/2015 16:00:00,32.61
