Date, Close
02/01/2015 16:00:00,5.03
05/01/2015 16:00:00,4.95
06/01/2015 16:00:00,4.8
07/01/2015 16:00:00,4.78
08/01/2015 16:00:00,4.97
09/01/2015 16:00:00,4.99
12/01/2015 16:00:00,4.92
13/01/2015 16:00:00,4.91
14/01/2015 16:00:00,4.93
15/01/2015 16:00:00,4.9
16/01/2015 16:00:00,4.99
20/01/2015 16:00:00,5.01
21/01/2015 16:00:00,5.08
22/01/2015 16:00:00,5.16
23/01/2015 16:00:00,5.18
26/01/2015 16:00:00,5.15
27/01/2015 16:00:00,4.91
28/01/2015 16:00:00,4.83
29/01/2015 16:00:00,4.95
30/01/2015 16:00:00,4.8
02/02/2015 16:00:00,4.91
03/02/2015 16:00:00,5.03
04/02/2015 16:00:00,5.04
05/02/2015 16:00:00,5.12
06/02/2015 16:00:00,5.1
09/02/2015 16:00:00,5.1
10/02/2015 16:00:00,5.24
11/02/2015 16:00:00,5.2
12/02/2015 16:00:00,5.58
13/02/2015 16:00:00,5.58
17/02/2015 16:00:00,5.59
18/02/2015 16:00:00,5.53
19/02/2015 16:00:00,5.54
20/02/2015 16:00:00,5.58
23/02/2015 16:00:00,5.54
24/02/2015 16:00:00,5.58
25/02/2015 16:00:00,5.54
26/02/2015 16:00:00,5.55
27/02/2015 16:00:00,5.52
02/03/2015 16:00:00,5.65
03/03/2015 16:00:00,5.55
04/03/2015 16:00:00,5.61
05/03/2015 16:00:00,5.72
06/03/2015 16:00:00,5.64
09/03/2015 16:00:00,5.65
10/03/2015 16:00:00,5.75
11/03/2015 16:00:00,5.72
12/03/2015 16:00:00,5.67
13/03/2015 16:00:00,5.68
16/03/2015 16:00:00,5.74
17/03/2015 16:00:00,5.81
18/03/2015 16:00:00,5.72
19/03/2015 16:00:00,5.8
20/03/2015 16:00:00,5.87
23/03/2015 16:00:00,5.68
24/03/2015 16:00:00,5.6
25/03/2015 16:00:00,5.26
26/03/2015 16:00:00,5.24
27/03/2015 16:00:00,5.35
30/03/2015 16:00:00,5.37
31/03/2015 16:00:00,5.23
01/04/2015 16:00:00,5.25
02/04/2015 16:00:00,5.27
06/04/2015 16:00:00,5.42
07/04/2015 16:00:00,5.47
08/04/2015 16:00:00,5.51
09/04/2015 16:00:00,5.63
10/04/2015 16:00:00,5.69
13/04/2015 16:00:00,5.64
14/04/2015 16:00:00,5.59
15/04/2015 16:00:00,5.66
16/04/2015 16:00:00,5.62
17/04/2015 16:00:00,5.55
